년도,월,자동차 모델,판매량,점유율,전월대비
2023,1,Panamera,124,33.2%,"142
18▼"
2023,1,Taycan,58,17.4%,"73
8▼"
2023,1,911,35,16.6%,"34
28▲"
2023,1,AMG GT,10,8.8%,"118
85▼"
2023,1,M4,15,5.6%,"31
10▼"
2023,1,718 Boxster,3,4.0%,"21
6▼"
2023,1,718 Cayman,3,3.2%,"20
8▼"
2023,1,Mustang,65,2.9%,"26
15▼"
2023,1,GR SUPRA,39,2.4%,"0
9▲"
2023,1,M3,1,2.1%,"25
17▼"
2023,1,M5,4,1.6%,"23
17▼"
2023,1,GR 86,2,1.1%,"8
4▼"
2023,1,Z4,13,0.5%,"11
9▼"
2023,1,F-Type,1,0.5%,"0
2▲"
2023,2,Panamera,194,32.2%,"124
70▲"
2023,2,Taycan,87,19.4%,"65
52▲"
2023,2,911,49,16.8%,"62
39▲"
2023,2,AMG GT,18,10.8%,"33
32▲"
2023,2,M5,31,3.5%,"6
15▲"
2023,2,718 Boxster,6,3.3%,"15
5▲"
2023,2,M3,3,3.2%,"8
11▲"
2023,2,718 Cayman,117,3.2%,"12
7▲"
2023,2,M4,67,2.0%,"21
9▼"
2023,2,Mustang,6,1.8%,"11
0▼"
2023,2,GR 86,6,1.8%,"4
7▲"
2023,2,Huracan EVO,9,1.0%,"0
6▲"
2023,2,GR SUPRA,22,1.0%,"9
3▼"
2023,3,Panamera,161,24.7%,"194
33▼"
2023,3,AMG GT,73,15.6%,"65
37▲"
2023,3,911,39,15.5%,"101
0▼"
2023,3,Taycan,9,14.1%,"117
25▼"
2023,3,M3,36,6.0%,"19
20▲"
2023,3,Z4,1,5.1%,"0
33▲"
2023,3,M4,3,3.8%,"12
13▲"
2023,3,GR 86,102,3.4%,"11
11▲"
2023,3,M5,102,3.4%,"21
1▲"
2023,3,Mustang,101,2.8%,"11
7▲"
2023,3,718 Cayman,1,2.5%,"19
3▼"
2023,3,718 Boxster,30,1.7%,"20
9▼"
2023,3,Huracan EVO,33,0.8%,"6
1▼"
2023,3,GR SUPRA,1,0.3%,"6
4▼"
2023,3,M8,1,0.2%,"0
1▲"
2023,3,F-Type,6,0.2%,"0
1▲"
2023,3,LC,15,0.2%,"0
1▲"
2023,4,Panamera,169,22.7%,"161
8▲"
2023,4,911,67,18.3%,"101
35▲"
2023,4,Taycan,65,17.0%,"92
35▲"
2023,4,AMG GT,14,11.9%,"102
13▼"
2023,4,718 Boxster,21,7.9%,"11
48▲"
2023,4,Z4,2,4.7%,"33
2▲"
2023,4,Mustang,136,4.2%,"18
13▲"
2023,4,M3,3,3.0%,"39
17▼"
2023,4,Huracan EVO,3,2.8%,"5
16▲"
2023,4,M5,25,2.4%,"22
4▼"
2023,4,718 Cayman,33,2.0%,"16
1▼"
2023,4,M4,1,1.6%,"25
13▼"
2023,4,GR 86,2,0.5%,"22
18▼"
2023,4,F-Type,3,0.4%,"1
2▲"
2023,4,SL-Class,8,0.3%,"0
2▲"
2023,4,GR SUPRA,9,0.1%,"2
1▼"
2023,4,LC,10,0.1%,"1
0▼"
2023,5,911,147,17.2%,"136
11▲"
2023,5,Panamera,6,17.1%,"169
23▼"
2023,5,Taycan,7,14.9%,"127
0▼"
2023,5,AMG GT,21,13.0%,"89
22▲"
2023,5,Z4,33,7.5%,"35
29▲"
2023,5,718 Boxster,2,7.3%,"59
3▲"
2023,5,SL-Class,3,6.1%,"2
50▲"
2023,5,Mustang,12,3.9%,"31
2▲"
2023,5,Huracan EVO,8,3.4%,"21
8▲"
2023,5,M5,7,2.8%,"18
6▲"
2023,5,718 Cayman,12,2.2%,"15
4▲"
2023,5,M3,1,1.5%,"22
9▼"
2023,5,M4,5,1.3%,"12
1▼"
2023,5,GR 86,6,0.6%,"4
1▲"
2023,5,GR SUPRA,3,0.5%,"1
3▲"
2023,5,MC20 Cielo,3,0.4%,"0
3▲"
2023,5,F-Type,9,0.2%,"3
1▼"
2023,5,LC,9,0.1%,"1
0▼"
2023,6,Taycan,164,17.6%,"127
37▲"
2023,6,Panamera,100,14.7%,"146
9▼"
2023,6,911,3,14.6%,"147
11▼"
2023,6,AMG GT,25,12.4%,"111
5▲"
2023,6,SL-Class,7,9.7%,"52
38▲"
2023,6,Z4,19,9.5%,"64
25▲"
2023,6,718 Boxster,5,5.2%,"62
14▼"
2023,6,Mustang,1,3.5%,"33
0▼"
2023,6,M4,4,3.3%,"11
20▲"
2023,6,M5,137,3.0%,"24
4▲"
2023,6,718 Cayman,68,1.6%,"19
4▼"
2023,6,GR 86,52,1.5%,"5
9▲"
2023,6,Huracan EVO,11,1.1%,"29
19▼"
2023,6,M3,4,1.1%,"13
3▼"
2023,6,MC20 Cielo,1,0.3%,"3
0▼"
2023,6,GR SUPRA,1,0.3%,"4
1▼"
2023,6,F-Type,136,0.2%,"2
0▼"
2023,6,LC,3,0.1%,"1
0▼"
2023,6,M2,4,0.1%,"0
1▲"
2023,6,MC20,26,0.1%,"0
1▲"
2023,7,Panamera,192,21.8%,"137
55▲"
2023,7,Taycan,122,18.5%,"164
1▼"
2023,7,AMG GT,49,12.2%,"116
9▼"
2023,7,911,9,11.9%,"136
31▼"
2023,7,M2,10,8.2%,"1
71▲"
2023,7,718 Boxster,2,6.8%,"48
12▲"
2023,7,Mustang,163,4.4%,"33
6▲"
2023,7,Z4,74,4.3%,"89
51▼"
2023,7,SL-Class,3,2.4%,"90
69▼"
2023,7,M3,27,2.0%,"10
8▲"
2023,7,M5,13,2.0%,"28
10▼"
2023,7,M4,36,1.7%,"31
16▼"
2023,7,Huracan EVO,3,1.5%,"10
3▲"
2023,7,GR 86,6,1.0%,"14
5▼"
2023,7,718 Cayman,1,0.8%,"15
8▼"
2023,7,GR SUPRA,107,0.3%,"3
0▼"
2023,8,Panamera,278,25.4%,"192
86▲"
2023,8,AMG GT,176,16.7%,"107
76▲"
2023,8,Taycan,57,16.3%,"163
16▲"
2023,8,911,14,15.9%,"105
69▲"
2023,8,718 Boxster,28,4.7%,"60
9▼"
2023,8,Z4,2,4.5%,"38
11▲"
2023,8,M3,1,3.3%,"18
18▲"
2023,8,Mustang,183,2.9%,"39
7▼"
2023,8,M2,179,2.5%,"72
45▼"
2023,8,SL-Class,4,2.3%,"21
4▲"
2023,8,M4,179,2.1%,"15
8▲"
2023,8,M5,109,1.2%,"18
5▼"
2023,8,718 Cayman,2,0.6%,"7
0▼"
2023,8,Huracan EVO,21,0.5%,"13
7▼"
2023,8,GR SUPRA,7,0.4%,"3
1▲"
2023,8,MC20 Cielo,31,0.4%,"0
4▲"
2023,8,GR 86,3,0.2%,"9
7▼"
2023,8,F-Type,2,0.1%,"0
1▲"
2023,8,M8,4,0.1%,"0
1▲"
2023,9,AMG GT,192,22.2%,"183
9▲"
2023,9,Panamera,185,19.6%,"278
108▼"
2023,9,Taycan,7,15.4%,"179
46▼"
2023,9,911,170,13.7%,"174
55▼"
2023,9,Z4,100,5.3%,"49
3▼"
2023,9,M4,40,4.2%,"23
13▲"
2023,9,Huracan EVO,11,3.7%,"6
26▲"
2023,9,718 Boxster,15,3.6%,"51
20▼"
2023,9,Mustang,2,3.1%,"32
5▼"
2023,9,M3,2,3.0%,"36
10▼"
2023,9,SL-Class,133,1.6%,"25
11▼"
2023,9,718 Cayman,68,1.0%,"7
2▲"
2023,9,M5,11,0.8%,"13
6▼"
2023,9,M2,24,0.8%,"27
20▼"
2023,9,GR 86,5,0.7%,"2
4▲"
2023,9,LC,18,0.5%,"0
4▲"
2023,9,MC20 Cielo,2,0.5%,"4
0▼"
2023,9,F-Type,2,0.3%,"1
2▲"
2023,10,Taycan,151,25.4%,"133
18▲"
2023,10,911,80,16.6%,"119
20▼"
2023,10,Panamera,3,13.4%,"170
90▼"
2023,10,AMG GT,25,9.6%,"192
135▼"
2023,10,Z4,4,6.7%,"46
6▼"
2023,10,M4,35,5.5%,"36
3▼"
2023,10,M2,1,5.2%,"7
24▲"
2023,10,718 Boxster,3,4.2%,"31
6▼"
2023,10,M3,99,3.0%,"26
8▼"
2023,10,GR 86,6,2.2%,"6
7▲"
2023,10,Huracan EVO,6,2.0%,"32
20▼"
2023,10,718 Cayman,13,1.5%,"9
0▼"
2023,10,F-Type,15,1.3%,"3
5▲"
2023,10,SL-Class,4,1.2%,"14
7▼"
2023,10,M5,2,1.2%,"7
0▼"
2023,10,Mustang,11,0.8%,"27
22▼"
2023,11,Taycan,175,31.8%,"151
24▲"
2023,11,Panamera,73,15.8%,"80
7▲"
2023,11,911,17,10.9%,"99
39▼"
2023,11,AMG GT,24,9.6%,"57
4▼"
2023,11,718 Boxster,15,5.6%,"25
6▲"
2023,11,M4,32,5.1%,"33
5▼"
2023,11,Z4,6,4.7%,"40
14▼"
2023,11,M2,6,4.2%,"31
8▼"
2023,11,M3,2,3.3%,"18
0▼"
2023,11,718 Cayman,87,2.5%,"9
5▲"
2023,11,Huracan EVO,54,2.2%,"12
0▼"
2023,11,SL-Class,19,1.5%,"7
1▲"
2023,11,GR 86,6,1.3%,"13
6▼"
2023,11,M5,4,0.4%,"7
5▼"
2023,11,LC,4,0.4%,"0
2▲"
2023,11,M8,60,0.4%,"0
2▲"
2023,11,F-Type,5,0.2%,"8
7▼"
2023,11,MC20 Cielo,1,0.2%,"0
1▲"
2023,12,Taycan,312,36.8%,"175
137▲"
2023,12,AMG GT,179,17.8%,"53
98▲"
2023,12,Panamera,7,9.4%,"87
7▼"
2023,12,911,33,7.3%,"60
2▲"
2023,12,M4,18,7.2%,"28
33▲"
2023,12,Z4,48,4.7%,"26
14▲"
2023,12,718 Boxster,11,4.4%,"31
6▲"
2023,12,Huracan EVO,12,3.2%,"12
15▲"
