제목,본문,링크
연두색 번호판의 기습…S클래스 독주 끝? [데이터로 보는 세상],본문 추출 실패,https://www.mk.co.kr/article/11276278
'연두색 번호판' 기피 현상 감소…고급 수입차 판매 '꿈틀',[수원=뉴시스] 김종택 기자 = 지난해 1월8일 경기도 수원시 권선구 수원도시공사 번호판제작소에서 직원이 고가 법인차량 사적 사용과 탈세를 막기 위해 도입된 연두색 차량 번호판을 정리하고 있다. 2024.01.08. jtk@newsis.com,https://www.newsis.com/view/NISX20250324_0003110599
"번호판도 싫고, 살 차도 없고… 고가 수입차 '내리막'",본문 추출 실패,https://www.dailian.co.kr/news/view/1477573/?sc=Naver
"""정체된 S클래스""···벤츠, 더 위 노린다",본문 추출 실패,https://www.sisajournal-e.com/news/articleView.html?idxno=410659
연두색 번호판 기피 현상 감소? 올해 들어 고급 수입차 판매 늘어,본문 추출 실패,http://www.wolyo.co.kr/news/articleView.html?idxno=257386
'맞수' 벤츠 S클래스·BMW 7시리즈…'영원한 왕좌'는 없다?,본문 추출 실패,https://www.gpkorea.com/news/articleView.html?idxno=126703
"연두색 번호판 탓?… 고가 수입차, 영리치 대신 50대가 사",본문 추출 실패,https://www.chosun.com/economy/auto/2025/03/07/MPF2ABV3MRHA5FPAADA7BX4PMA/?utm_source=naver&utm_medium=referral&utm_campaign=naver-news
'연두색 번호판'에도 본국보다 판매 많아…4억 '테메라리오' 상륙,본문 추출 실패,http://www.hansbiz.co.kr/news/articleView.html?idxno=737430
‘연두색 아니네’…공수처장 관용차 번호판 바꿀 수 있던 이유는,"연두색 법인 번호판→흰색 일반 번호판으로 '신변 보호' 이유로 국토부 부착 제외 인정 고위공직자범죄수사처가 오동운 공수처장이 타는 제네시스 G90 차량의 연두색 법인 차량 번호판을 흰색 일반 차량 번호판으로 교체한 것으로 확인됐다. 13일 국토교통부 자동차 등록번호판 등의 기준에 관한 고시에 따르면 지난해 1월부터 법인이 신규·변경 등록하는 8000만원 이상의 업무용 차량은 연두색 번호판을 부착해야 한다. 다만 경호·보안·수사 등 업무 수행에 현저히 차질이 발생한다고 인정되면 국토부 장관의 협의를 거쳐 흰색 번호판을 달 수 있다. 오동운 고위공직자범죄수사처(공수처) 처장이 지난 1월 12일 경기도 정부과천청사 공수처로 출근하고 있다. 연합뉴스 오 처장이 타는 2024년식 G90은 9000만원대에 달하는 차량으로, 연두색 번호판 부착 대상이다. 공수처는 윤석열 대통령의 구속영장 실질심사 당시 공수처 차량이 습격당한 점, 공수처 청사 인근에서 오 처장을 규탄하는 집회가 열린 점 등을 고려해 국토부 협의를 거쳐 번호판을 교체한 것으로 알려졌다. 앞서 국토부는 국회의장, 대법관, 법무부 장관의 전용 차량과 대통령·국무총리의 경호 차량에 대해서도 연두색 번호판 부착 제외를 인정했다. 하지만 법조계에선 “수사는 제대로 못 하고 신변 보호만 신경쓴다“는 지적이 나오고 있다. 공수처는 최근 일임한 ‘12·3 비상계엄 사건’ 관련 수사가 미진했다는 비판을 받고 있기 때문이다. 공수처는 ‘이첩요청권’을 발동해 검경으로부터 윤 대통령 사건을 넘겨받았지만 대통령실과 관저 등 압수수색에 연이어 실패하고 진술거부권을 행사하는 윤 대통령을 제대로 수사하지 못한 채 검찰에 사건을 넘겼다. 내란 혐의를 받는 이상민 전 행정안전부 장관과 한덕수 국무총리에 대해서도 직권남용 등 공수처 수사 대상 범죄의 ‘관련 범죄’라며 사건을 넘겨받았지만 이 전 장관의 직권남용 혐의 성립 여부가 불분명하고 한 총리 사건은 “중복 수사 방지 차원”이라며 사건을 검경에 재이첩했다. 안경준 기자 eyewhere@segye.com [ⓒ 세계일보 & Segye.com, 무단전재 및 재배포 금지]",http://www.segye.com/newsView/20250213508084?OutUrl=naver
“연두색 번호판 창피해서?”···수입차 시세 8년만에 ‘뚝뚝’,"수입차시장 위축에 따른 할인 경쟁 ‘연두색 번호판’ 제도 영향 컸던 듯 직장인 김모(42) 씨는 3년 전부터 독일산 고급 세단을 구매하고 싶어 했지만, 높은 가격 때문에 쉽게 결정을 내리지 못했다. 지난해부터 수입차 브랜드들이 경쟁적으로 할인을 진행하면서, 김 씨는 마침내 원하던 차량을 이전보다 10% 이상 저렴한 가격에 구매할 수 있었다. 그는 “예전에는 할인을 많이 기대하기 어려웠는데, 지난해부터 여러 브랜드가 공격적인 할인 프로모션을 진행하면서 가격이 부담이 덜해졌다”고 말했다. 기사 특정내용과 무관. TV조선 방송화면 캡처 지난해 국내 소비자가 수입차를 구매할 때 지불한 평균 가격이 8년 만에 하락한 것으로 나타났다. 이는 수입차 시장 위축에 따른 할인 경쟁과 지난해 1월 시행된 ‘연두색 번호판’ 제도의 영향이 컸던 것으로 분석된다. 6일 자동차 조사 전문기관 컨슈머인사이트가 지난해 7월 10만명을 대상으로 진행한 ‘연례 자동차 기획조사(24차)’에 따르면, 2023년 7월부터 2024년 6월까지 수입차 신차 평균 구매 가격(옵션 포함)은 7593만원으로 집계됐다. 이는 전년(7848만원) 대비 255만원 감소한 수치로, ‘디젤게이트’(2015년 일부 수입차 브랜드의 배출가스 조작 사건) 여파로 가격이 하락했던 2016년 이후 처음이다. 최근 5년간의 변화를 보면 2020년에는 코로나19 영향으로 전년 대비 5%(321만원), 2021년에는 6%(415만원), 2022년에는 12%(835만원) 상승했다. 이후 2023년에는 상승 폭이 2%(160만원)로 줄었다. 작년에는 3% 하락(-255만원)하며 반전했다. 업계 한 관계자는 “수입차 가격 하락의 주요 원인은 시장 부진과 이에 따른 할인 경쟁, 그리고 ‘연두색 번호판’ 제도 시행”이라며 “연두색 번호판 제도는 국산차에도 동일하게 적용되지만, 상대적으로 가격이 비싸고 주목도가 높은 수입차가 주요 타겟이 되면서 소비 심리를 위축시키고 가격 경쟁을 촉진했다”고 설명했다. ‘연두색 번호판’ 제도는 공공 및 민간 법인이 8000만원 이상 업무용 승용차를 신규·변경 등록할 때 연두색 번호판을 부착하도록 의무화한 정책으로, 법인 차량의 사적 사용·탈세 방지를 위해 2023년 1월부터 시행됐다. 국산차의 평균 구매 가격은 상승세를 유지했다. 국산차 평균 가격은 전년 대비 2%(98만원) 오른 4306만원으로 조사됐다. 2019년부터 2024년까지 6년간 국산차 가격 상승률(33%)이 수입차(24%)를 앞질렀다. 전문가들은 “수입차 브랜드 간 가격 인하 경쟁과 연두색 번호판 제도로 인한 기피 현상이 수입차 가격 하락을 초래했다”면서도 “국산차는 옵션 고급화, 대형차와 SUV 선호 증가, 프리미엄 브랜드 제네시스의 성장 등이 가격 상승 요인으로 작용했다”고 말했다. 경기 침체와 법인차의 연두색 번호판 부착 등의 여파로 지난해 1억원 넘는 고가 수입차 판매가 8년만에 감소한 것으로 나타났다. 연합뉴스 경기 침체가 장기화되면서 소비자들의 소비 심리가 위축되고 있으며, 이로 인해 자동차 시장도 타격을 받고 있다. 지난달 승용차 신규 등록 대수는 전년 대비 10% 이상 감소한 것으로 나타났다. 카이즈유데이터연구소에 따르면 작년 1월 승용차 신규 등록 대수는 11만919대로 집계돼 전년 동월(12만5506대) 대비 11.6% 줄었다. 상용차 시장의 감소폭이 더 컸다. 1월 상용차 신규 등록 대수는 1만2716대로 전년 대비 32.3% 감소했다. 승용차와 상용차를 합산한 1월 자동차 신규 등록 대수는 12만3635대로, 전년 동월(14만4291대) 대비 14.3% 줄어들었다. 연료별로 살펴보면 경유차의 감소세가 가장 두드러졌다. 1월 경유차 신규 등록 대수는 9265대로, 전년 대비 42.7% 감소했다. 업계에서는 자동차 구매 수요 감소의 주요 원인으로 ‘경기 침체 장기화’를 꼽고 있다. 경제 상황이 어려워질수록 소비자들은 자동차와 같은 고가 소비를 미루는 경향이 있기 때문이다. 이를 뒷받침하는 통계도 있다. 통계청에 따르면 지난해 소매판매액지수는 전년 대비 2.2% 감소했다. 이는 직전년도(2023년) 감소폭(1.5%)보다 0.7%포인트(p) 증가한 수치다. 자동차가 포함된 내구재 지수는 3.1% 줄었다. 이러한 시장 위축에 대응하기 위해 국내외 자동차 제조사들은 연초부터 다양한 할인 프로모션을 내놓고 있다. 10년 이상된 차량 보유자를 위한 혜택, 저금리 할부 지원, 친환경차 할인 등이 대표적이다. 업계 관계자는 “자동차는 한 번에 큰 비용이 지출되는 상품이라 경기 침체의 영향을 직접적으로 받는다”며 “제조사 입장에서는 소비자들의 구매 결정을 유도하기 위해 공격적인 할인 프로모션을 펼칠 수밖에 없다”고 설명했다. 김현주 기자 hjk@segye.com [ⓒ 세계일보 & Segye.com, 무단전재 및 재배포 금지]",http://www.segye.com/newsView/20250206503805?OutUrl=naver
